Fraction,Population,Recruitment Duration,Release Duration
0.7663762449179152,Active,0.41,1.21
0.055744668854850465,Irreversibly Silent,0.41,1.21
0.7792291413902893,Active,0.41,1.31
0.055744668854850465,Irreversibly Silent,0.41,1.31
0.791153289995591,Active,0.41,1.41
0.055744668854850465,Irreversibly Silent,0.41,1.41
0.8022159097208562,Active,0.41,1.51
0.055744668854850465,Irreversibly Silent,0.41,1.51
0.8124791829076036,Active,0.41,1.61
0.055744668854850465,Irreversibly Silent,0.41,1.61
0.8220008656892693,Active,0.41,1.71
0.055744668854850465,Irreversibly Silent,0.41,1.71
0.8308345345952084,Active,0.41,1.81
0.055744668854850465,Irreversibly Silent,0.41,1.81
0.8390298785733521,Active,0.41,1.91
0.055744668854850465,Irreversibly Silent,0.41,1.91
0.8466329625629031,Active,0.41,2.01
0.055744668854850465,Irreversibly Silent,0.41,2.01
0.85368679141403,Active,0.41,2.11
0.055744668854850465,Irreversibly Silent,0.41,2.11
0.860230958286978,Active,0.41,2.21
0.055744668854850465,Irreversibly Silent,0.41,2.21
0.8663022657195399,Active,0.41,2.31
0.055744668854850465,Irreversibly Silent,0.41,2.31
0.8719348772822568,Active,0.41,2.41
0.055744668854850465,Irreversibly Silent,0.41,2.41
0.8771604798858786,Active,0.41,2.51
0.055744668854850465,Irreversibly Silent,0.41,2.51
0.8820084532741715,Active,0.41,2.61
0.055744668854850465,Irreversibly Silent,0.41,2.61
0.8865060217399218,Active,0.41,2.71
0.055744668854850465,Irreversibly Silent,0.41,2.71
0.8906787338591002,Active,0.41,2.81
0.055744668854850465,Irreversibly Silent,0.41,2.81
0.8945499919686295,Active,0.41,2.91
0.055744668854850465,Irreversibly Silent,0.41,2.91
0.8981415260919595,Active,0.41,3.01
0.055744668854850465,Irreversibly Silent,0.41,3.01
0.9014735462263261,Active,0.41,3.11
0.055744668854850465,Irreversibly Silent,0.41,3.11
0.904564797641078,Active,0.41,3.21
0.055744668854850465,Irreversibly Silent,0.41,3.21
0.9074326613946448,Active,0.41,3.31
0.055744668854850465,Irreversibly Silent,0.41,3.31
0.9100932444025859,Active,0.41,3.41
0.055744668854850465,Irreversibly Silent,0.41,3.41
0.9125614590567183,Active,0.41,3.51
0.055744668854850465,Irreversibly Silent,0.41,3.51
0.9148515223214794,Active,0.41,3.61
0.055744668854850465,Irreversibly Silent,0.41,3.61
0.9169761390159968,Active,0.41,3.71
0.055744668854850465,Irreversibly Silent,0.41,3.71
