,Regulator,Days with dox,Days after dox REAL,Days after dox,Biorep,Tube
255,EED,3,16,15.5,2,LB2013-01-30.011
261,EED,5,0,0.0,1,LB2013-06-25.078
262,EED,5,3,3.0,1,LB2013-06-28.050
263,EED,5,10,9.5,1,LB2013-07-05.006
264,EED,5,13,12.0,1,LB2013-07-08.070
265,EED,5,16,15.5,1,LB2013-07-11.066
266,EED,5,0,0.0,2,LB2013-01-12.013
267,EED,5,3,3.0,2,LB2013-01-15.008
268,EED,5,9,9.5,2,LB2013-01-23.006
269,EED,5,11,12.0,2,LB2013-01-25.006
270,EED,5,16,15.5,2,LB2013-01-30.013
