ad,ka,ki,ks,pk,pk2
19.944660723741563,11.71,0.5,0.01,0.8941990555757483,0.345617643445445
20.081794346728373,11.81,0.5,0.01,0.8950276225628866,0.34761745027286306
20.219085800154854,11.91,0.5,0.01,0.8958427447670546,0.3496000145027227
20.356419008717047,12.01,0.5,0.01,0.8966454368840986,0.35156581457298164
20.49378984626715,12.11,0.5,0.01,0.8974360025291308,0.35351522402069263
20.631190889098097,12.21,0.5,0.01,0.8982147515325283,0.3554485565652611
20.768619845924242,12.31,0.5,0.01,0.8989819573231943,0.3573661314196549
20.906082136290255,12.41,0.5,0.01,0.8997378428512233,0.35926818262590354
21.04357258189144,12.51,0.5,0.01,0.9004826813790829,0.36115496760177024
21.181082374570405,12.61,0.5,0.01,0.9012167560854255,0.363026703033626
21.31861520052579,12.71,0.5,0.01,0.9019402758998812,0.3648835821577936
21.456167647659154,12.81,0.5,0.01,0.9026534805999993,0.3667258247988067
21.593742239525575,12.91,0.5,0.01,0.9033565735205872,0.36855363466916535
21.731341040575394,13.01,0.5,0.01,0.9040497550102266,0.37036709284955616
21.86894912354815,13.11,0.5,0.01,0.9047333005959924,0.37217501964874355
22.00657864624118,13.21,0.5,0.01,0.9054073498786633,0.37397257951087826
22.14422064687882,13.31,0.5,0.01,0.9060721374607085,0.37575649720829124
22.281872548409353,13.41,0.5,0.01,0.9067278607917623,0.3775304014512767
22.419532948736745,13.51,0.5,0.01,0.9073747071986242,0.37928937650073163
22.557201749014613,13.61,0.5,0.01,0.9080128526308792,0.3810336430154385
22.694879604722463,13.71,0.5,0.01,0.9086424654809049,0.38276346648372056
22.832559971794037,13.81,0.5,0.01,0.9092637404971567,0.3844790736600062
22.935091152282023,13.91,0.5,0.01,0.9099985412669052,0.3861721607104287
23.065508536485982,14.01,0.5,0.01,0.9106199230051673,0.3878588685556997
23.196367077107947,14.11,0.5,0.01,0.9112294863391981,0.3895322323919563
23.32759535395736,14.21,0.5,0.01,0.9118279650480334,0.39119239209735757
23.45915497159011,14.31,0.5,0.01,0.9124159362248581,0.39283948567373245
23.564227756488684,14.41,0.5,0.01,0.9129939280583699,0.3945047062163166
23.696958827400582,14.51,0.5,0.01,0.913562366322173,0.3961232014575563
23.82987989135287,14.61,0.5,0.01,0.914121639589833,0.3977292676991455
23.962974897795974,14.71,0.5,0.01,0.9146720814362628,0.3993236879584065
24.097840481778917,14.81,0.5,0.01,0.915214842655737,0.40090593182783274
24.234490591450413,14.91,0.5,0.01,0.9157513507072258,0.40247591739495264
24.371178399406727,15.01,0.5,0.01,0.9162812372565886,0.4040335839935302
24.50790485354234,15.11,0.5,0.01,0.9168046299022746,0.40557907977490293
24.644669025671543,15.21,0.5,0.01,0.9173216516719994,0.4071125482810706
24.781454290124632,15.31,0.5,0.01,0.9178324107232788,0.4086341331533021
24.91834216328742,15.41,0.5,0.01,0.9183370833987392,0.41014396493414773
25.05526722251626,15.51,0.5,0.01,0.9188357385916494,0.4116422645304095
25.192212076183214,15.61,0.5,0.01,0.9193284720212224,0.41311416368475906
25.329331900233534,15.71,0.5,0.01,0.9198155183062184,0.41459487303703435
25.466460626959783,15.81,0.5,0.01,0.9202968476330803,0.41607898634281293
25.603601193439328,15.91,0.5,0.01,0.9207725617546493,0.41750466617026316
25.74075255833383,16.01,0.5,0.01,0.9212427569066194,0.41893628907447006
25.87791954347425,16.11,0.5,0.01,0.9217075320628255,0.4204048944758744
26.015090716114223,16.21,0.5,0.01,0.9221669700674069,0.4218287903773771
26.15227353996005,16.31,0.5,0.01,0.9226211678243165,0.42325382168342857
26.289463970438195,16.41,0.5,0.01,0.92307021037542,0.4246477554435096
26.42666664958579,16.51,0.5,0.01,0.9235141883269729,0.42599526803291565
26.563873289142816,16.61,0.5,0.01,0.9239531789125214,0.4273999793166356
26.701089391978883,16.71,0.5,0.01,0.9243872698909593,0.4287940067333383
26.838311689155578,16.81,0.5,0.01,0.9248165390826062,0.4301686073603074
26.975541500467244,16.91,0.5,0.01,0.9252410668189445,0.4315226683650105
27.112778396777983,17.01,0.5,0.01,0.9256609300767459,0.4328344381408378
27.250022170600218,17.11,0.5,0.01,0.926076204466312,0.43418667679717726
27.387272035388193,17.21,0.5,0.01,0.9264869633537302,0.43552426149936124
27.524530662718597,17.31,0.5,0.01,0.9268932817171602,0.4367679059413744
27.661792094088256,17.41,0.5,0.01,0.9272952254992113,0.4381446937433371
27.799055049030027,17.51,0.5,0.01,0.9276928627671669,0.4394423967613391
27.936325163844522,17.61,0.5,0.01,0.9280862665999943,0.4407234863257225
28.07359898033388,17.71,0.5,0.01,0.9284755005401066,0.44196006820730255
28.210875763298656,17.81,0.5,0.01,0.9288606292645418,0.44322617725254254
28.348157977188546,17.91,0.5,0.01,0.9292417187795158,0.44448357373152486
28.485440937399623,18.01,0.5,0.01,0.9296188275686155,0.44573230794719926
28.622727017652128,18.11,0.5,0.01,0.9299920190644627,0.4469724955284744
28.76001457372659,18.21,0.5,0.01,0.9303613518937115,0.4482042237074598
28.874998121474174,18.31,0.5,0.01,0.9306885273837875,0.4494365000642328
29.00895359271169,18.41,0.5,0.01,0.9310412531164467,0.4506529435319945
29.143078587677913,18.51,0.5,0.01,0.9313899077428514,0.45186108454267143
29.2773561126983,18.61,0.5,0.01,0.9317346106203453,0.4530610558689889
29.41177156617853,18.71,0.5,0.01,0.932075469182566,0.45425291475119184
29.54631244752834,18.81,0.5,0.01,0.9324125816692074,0.45543674912850407
29.680958961558083,18.91,0.5,0.01,0.9327459988307288,0.45661261812711523
29.815703636110783,19.01,0.5,0.01,0.9330758062498297,0.4577806108089186
29.950542596015413,19.11,0.5,0.01,0.9334020982466924,0.45894080124615483
30.085463656560297,19.21,0.5,0.01,0.9337249206844397,0.4600932686117241
30.22046000103294,19.31,0.5,0.01,0.9340443345194824,0.46123807217007123
30.52051333224776,19.41,0.5,0.01,0.9343654998657924,0.46237530508370034
30.656071338031868,19.51,0.5,0.01,0.9346969705620087,0.46350466946562063
30.79292266987769,19.61,0.5,0.01,0.93502176305875,0.46462649261932165
30.92980533239862,19.71,0.5,0.01,0.9353433036197167,0.4657409851370569
31.066730049537167,19.81,0.5,0.01,0.9356616152406376,0.4668482071948773
31.155660847001386,19.91,0.5,0.01,0.9359768018766582,0.4679480327379391
31.292568380466133,20.01,0.5,0.01,0.9362888855554505,0.4690406839948157
198.7235729056932,0.01,0.5,0.11,0.010606767377360509,0.009614420902914285
18.99789668978425,0.11,0.5,0.11,0.09494519685268345,0.03895111071209822
11.029593929520649,0.21,0.5,0.11,0.1590275607336738,0.0378263720038682
8.407359760515883,0.31,0.5,0.11,0.2101642216252294,0.034869758237292776
7.824967239267168,0.41,0.5,0.11,0.2543203880114221,0.032772126713245364
6.860453642373882,0.51,0.5,0.11,0.2930166724002067,0.03168238609961114
6.745054538071932,0.61,0.5,0.11,0.32723376010200794,0.03133624547945481
6.350131588670193,0.71,0.5,0.11,0.3566934656679101,0.031595061000768455
6.487027413475246,0.81,0.5,0.11,0.3829585599750676,0.032370247271962
6.363001311895077,0.91,0.5,0.11,0.4085473135808889,0.03345046525118226
6.218740197957403,1.01,0.5,0.11,0.43204120138688096,0.03471027234111277
6.182033282911194,1.11,0.5,0.11,0.4527090461155159,0.036325286094814835
6.144814228434101,1.21,0.5,0.11,0.47091223188179876,0.038013785062834565
6.395380173461105,1.31,0.5,0.11,0.48814296835252224,0.03989276276858711
6.3544126033907204,1.41,0.5,0.11,0.5054190088178333,0.0419216879906333
6.407536577953886,1.51,0.5,0.11,0.5212462563467843,0.04402055726621023
6.410643682812725,1.61,0.5,0.11,0.536492908800339,0.04639779520686378
6.471016278310428,1.71,0.5,0.11,0.5500748551598481,0.04875694587315658
6.5473358782427376,1.81,0.5,0.11,0.5628144814838498,0.05145091341379191
6.6312464044584996,1.91,0.5,0.11,0.574824280691997,0.05387652379943035
6.703250433589693,2.01,0.5,0.11,0.586197174516538,0.05662642100870222
6.762983338568721,2.11,0.5,0.11,0.5958987076545514,0.05924215853265424
7.007992856797322,2.21,0.5,0.11,0.606685507768156,0.06194336966963412
7.104985006136231,2.31,0.5,0.11,0.6166387833186805,0.06484630131222213
7.205291935385017,2.41,0.5,0.11,0.6260704393839793,0.06769848207648056
7.287688417432563,2.51,0.5,0.11,0.635018067935138,0.070483044578252
7.3946790165298575,2.61,0.5,0.11,0.6435252030647666,0.07354874583815679
7.5038269608798895,2.71,0.5,0.11,0.6516345720160579,0.07644085384292004
7.55156863006109,2.81,0.5,0.11,0.6596854096459349,0.07950226903125908
7.6507354005091655,2.91,0.5,0.11,0.6669523953650899,0.08243966474699431
7.747707047248397,3.01,0.5,0.11,0.6739684871042185,0.08558601105268689
7.859465912740457,3.11,0.5,0.11,0.6807040667214787,0.08871826276572618
7.9729218668311335,3.21,0.5,0.11,0.6871790692665314,0.09169396616736712
8.08748511999477,3.31,0.5,0.11,0.6934039170035826,0.09495247911762661
8.1917416829733,3.41,0.5,0.11,0.6993932293683419,0.09795918361923743
8.30805681944141,3.51,0.5,0.11,0.7051590981465844,0.10111247867293353
8.397181668412857,3.61,0.5,0.11,0.7100284840373375,0.10429546386686502
8.649133351834774,3.71,0.5,0.11,0.7156281440770991,0.107495299307831
8.755305013472213,3.81,0.5,0.11,0.7210358983104138,0.11070299480164603
8.843455429005985,3.91,0.5,0.11,0.7260884786258066,0.11389261603293412
8.961316504151618,4.01,0.5,0.11,0.7309572504596321,0.11715063953465518
9.079841085421288,4.11,0.5,0.11,0.7356541147528299,0.12026615591186267
