hillcoeff,input,ka,kd50,ks,nmediators
3.1421138353974807,1.0,5.75,0.024437926456442143,19.75,20.0
3.143865909792422,1.0,5.5,0.024973287146439104,19.75,20.0
3.1456580239419525,1.0,5.25,0.025546462417899166,19.75,20.0
3.147493211505322,1.0,5.0,0.026162122385679602,19.75,20.0
3.149374834804857,1.0,4.75,0.026825786768827256,19.75,20.0
3.151306141618107,1.0,4.5,0.027544033939070338,19.75,20.0
3.153292731696131,1.0,4.25,0.028324780179170023,19.75,20.0
3.1553382205880336,1.0,4.0,0.02917764433716422,19.75,20.0
3.15744895348917,1.0,3.75,0.030114456217917716,19.75,20.0
3.159631403972949,1.0,3.5,0.031149954200201696,19.75,20.0
3.1618938566950994,1.0,3.25,0.03230277171801854,19.75,20.0
3.1642409214606366,1.0,3.0,0.03359690946413348,19.75,20.0
3.1666860476820617,1.0,2.75,0.03506378535167196,19.75,20.0
3.169242923498261,1.0,2.5,0.03674558403232656,19.75,20.0
3.1719290731476035,1.0,2.25,0.0387004836124073,19.75,20.0
3.174766637695247,1.0,2.0,0.04101140167852714,19.75,20.0
3.177785091505827,1.0,1.75,0.043801401666078536,19.75,20.0
3.181025259222976,1.0,1.5,0.047262728867541536,19.75,20.0
3.184545495268848,1.0,1.25,0.051716472567955515,19.75,20.0
3.188435785450785,1.0,1.0,0.0577501887781216,19.75,20.0
3.192853491580939,1.0,0.75,0.06659192748540699,19.75,20.0
3.1980924903349823,1.0,0.5,0.08142427342265086,19.75,20.0
3.204875178006029,1.0,0.25,0.11490604365525432,19.75,20.0
2.0167976683041813,1.0,0.0,43731.81475817244,19.75,20.0
3.0720751902305707,1.0,20.0,0.013485945563056654,19.5,20.0
3.0730156921703817,1.0,19.75,0.013566910527134301,19.5,20.0
3.0739623059384598,1.0,19.5,0.013649428897365357,19.5,20.0
3.0749139770699054,1.0,19.25,0.013733552012052319,19.5,20.0
3.0758722711093074,1.0,19.0,0.013819332582993043,19.5,20.0
3.0768376559519943,1.0,18.75,0.013906825486079594,19.5,20.0
3.0778096753643296,1.0,18.5,0.01399608817209993,19.5,20.0
3.0787881801927313,1.0,18.25,0.014087180705655357,19.5,20.0
3.0797728464012275,1.0,18.0,0.014180167269150928,19.5,20.0
3.08076499454069,1.0,17.75,0.014275114324819413,19.5,20.0
3.0817642606616507,1.0,17.5,0.014372091468150494,19.5,20.0
3.082770696869503,1.0,17.25,0.01447117189951383,19.5,20.0
